ISO,country,year,SSB,SSB_LCI,SSB_UCI,wb_region,incgrp,UN_status_detail,UNmemberstate,UN_status,territoryof,ISO_governing,UN_contregion_code,UN_continental_region,UN_subregion_code,UN_subregion,UN_intermedregion_code,UN_intermediary_region,m49_code
BEN,Benin,2021,28.68,25.17,32.33,Sub-Saharan Africa,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,204
BFA,Burkina Faso,2021,62.22,56.88999999999999,67.40000000000001,Sub-Saharan Africa,Low income,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,854
BGD,Bangladesh,2021,52.39,48.06,56.7,South Asia,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,050
BOL,Bolivia (Plurinational State of),2021,88.91,85.98,91.53999999999999,Latin America & Caribbean,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,068
CHL,Chile,2021,92.29000000000001,89.81999999999999,94.45,Latin America & Caribbean,High income,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,152
CHN,China,2021,27.7,25.57,29.89,East Asia & Pacific,Upper middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,030,Eastern Asia,,,156
CMR,Cameroon,2021,51.62,47.19,56.04,Sub-Saharan Africa,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,120
COL,Colombia,2021,74.00999999999999,70.52000000000001,77.34,Latin America & Caribbean,Upper middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,170
ECU,Ecuador,2021,86.05000000000001,82.95,88.88000000000001,Latin America & Caribbean,Upper middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,218
EGY,Egypt,2021,92.69,90.86,94.32000000000001,Middle East & North Africa,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,015,Northern Africa,,,818
GAB,Gabon,2021,66.90000000000001,62.41999999999999,71.22,Sub-Saharan Africa,Upper middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,266
GHA,Ghana,2021,46.96,42.15,51.79000000000001,Sub-Saharan Africa,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,288
GRC,Greece,2021,64.34,60.06,68.51000000000001,Europe & Central Asia,High income,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,300
IDN,Indonesia,2021,74.57000000000001,70.73,78.22,East Asia & Pacific,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,035,South-eastern Asia,,,360
IND,India,2021,67.71000000000001,64.92,70.45,South Asia,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,356
ISR,Israel,2021,76.29000000000001,73.06,79.38,Middle East & North Africa,High income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,376
JOR,Jordan,2021,84.2,81.48999999999999,86.72999999999999,Middle East & North Africa,Upper middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,400
KAZ,Kazakhstan,2021,63.41,58.79,67.90000000000001,Europe & Central Asia,Upper middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,143,Central Asia,,,398
KEN,Kenya,2021,86.59,83.85000000000001,89.11,Sub-Saharan Africa,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,404
KHM,Cambodia,2021,54.93,50.16,59.66,East Asia & Pacific,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,035,South-eastern Asia,,,116
LAO,Lao People's Democratic Republic,2021,51.32,46.23,56.39999999999999,East Asia & Pacific,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,035,South-eastern Asia,,,418
LBN,Lebanon,2021,79.44,76.64,82.12,Middle East & North Africa,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,422
LKA,Sri Lanka,2021,75.77000000000001,71.50999999999999,79.79000000000001,South Asia,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,144
MAR,Morocco,2021,84.61,81.11,87.8,Middle East & North Africa,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,015,Northern Africa,,,504
MEX,Mexico,2021,87.77000000000001,84.85000000000001,90.42,Latin America & Caribbean,Upper middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,013,Central America,484
MOZ,Mozambique,2021,56.86,51.4,62.23999999999999,Sub-Saharan Africa,Low income,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,508
NGA,Nigeria,2021,56.81,51.67,61.88,Sub-Saharan Africa,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,566
NIC,Nicaragua,2021,90.77,88.38000000000001,92.91,Latin America & Caribbean,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,013,Central America,558
NPL,Nepal,2021,67.86999999999999,63.44,72.15000000000001,South Asia,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,524
PAK,Pakistan,2021,88.79000000000001,85.27,91.88,South Asia,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,586
PHL,Philippines,2021,72.3,68.36,76.07000000000001,East Asia & Pacific,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,035,South-eastern Asia,,,608
RUS,Russian Federation,2021,85.11,83.2,86.91,Europe & Central Asia,Upper middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,151,Eastern Europe,,,643
SEN,Senegal,2021,90.53,87.81999999999999,92.94,Sub-Saharan Africa,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,686
SLE,Sierra Leone,2021,36.18,32.53,39.91,Sub-Saharan Africa,Low income,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,694
TJK,Tajikistan,2021,89.72,86.52,92.54000000000001,Europe & Central Asia,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,143,Central Asia,,,762
TUR,TÃ¼rkiye,2021,73.37,69.84999999999999,76.75,Europe & Central Asia,Upper middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,792
TZA,United Republic of Tanzania,2021,54.67999999999999,49.64,59.66,Sub-Saharan Africa,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,834
UGA,Uganda,2021,72.3,68.03,76.38000000000001,Sub-Saharan Africa,Low income,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,800
USA,United States of America,2021,71.19,67.72,74.53999999999999,North America,High income,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,021,Northern America,,,840
VNM,Viet Nam,2021,57.89,52.88,62.82,East Asia & Pacific,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,035,South-eastern Asia,,,704
ZAF,South Africa,2021,89.91,86.53999999999999,92.84,Sub-Saharan Africa,Upper middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,018,Southern Africa,710
