country,disp_area,UN_status_detail,UNmemberstate,UN_status,territoryof,ISO
Afghanistan,NO,Member State,1,"Territory, region, or administrated by a state",Member State,AFG
Aksai Chin,YES,Sovereignty unsettled,0,Occupied territory,,
Albania,NO,Member State,1,"Territory, region, or administrated by a state",Member State,ALB
Algeria,NO,Member State,1,"Territory, region, or administrated by a state",Member State,DZA
American Samoa,NO,US Non-Self-Governing Territory,0,"Territory, region, or administrated by a state",US Non-Self-Governing Territory,ASM
Andorra,NO,Member State,1,"Territory, region, or administrated by a state",Member State,AND
Angola,NO,Member State,1,"Territory, region, or administrated by a state",Member State,AGO
Anguilla,NO,UK Non-Self-Governing Territory,0,Permanent observer to the UN,,AIA
Antarctica,NO,,0,,,ATA
Antigua and Barbuda,NO,Member State,1,"Territory, region, or administrated by a state",Member State,ATG
Argentina,NO,Member State,1,"Territory, region, or administrated by a state",Member State,ARG
Armenia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,ARM
Aruba,NO,NL Self-Governing Territory,0,"Territory, region, or administrated by a state",NL Self-Governing Territory,ABW
Arunachal Pradesh,YES,Sovereignty unsettled,0,Occupied territory,,
Ashmore and Cartier Islands,NO,AU Territory,0,"Territory, region, or administrated by a state",AU Territory,
Australia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,AUS
Austria,NO,Member State,1,"Territory, region, or administrated by a state",Member State,AUT
Azerbaijan,NO,Member State,1,"Territory, region, or administrated by a state",Member State,AZE
Azores Islands,NO,PT Territory,0,Occupied territory,,
Bahamas,NO,Member State,1,"Territory, region, or administrated by a state",Member State,BHS
Bahrain,NO,Member State,1,"Territory, region, or administrated by a state",Member State,BHR
Baker Island,NO,US Territory,0,"Territory, region, or administrated by a state",US Territory,
Bangladesh,NO,Member State,1,"Territory, region, or administrated by a state",Member State,BGD
Barbados,NO,Member State,1,"Territory, region, or administrated by a state",Member State,BRB
Bassas da India,NO,FR Territory,0,"Territory, region, or administrated by a state",FR Territory,
Belarus,NO,Member State,1,"Territory, region, or administrated by a state",Member State,BLR
Belgium,NO,Member State,1,"Territory, region, or administrated by a state",Member State,BEL
Belize,NO,Member State,1,"Territory, region, or administrated by a state",Member State,BLZ
Benin,NO,Member State,1,"Territory, region, or administrated by a state",Member State,BEN
Bermuda,NO,UK Non-Self-Governing Territory,0,Permanent observer to the UN,,BMU
Bhutan,NO,Member State,1,"Territory, region, or administrated by a state",Member State,BTN
Bird Island,NO,VE Territory,0,"Territory, region, or administrated by a state",VE Territory,
Bolivia (Plurinational State of),NO,Member State,1,"Territory, region, or administrated by a state",Member State,BOL
Bosnia and Herzegovina,NO,Member State,1,"Territory, region, or administrated by a state",Member State,BIH
Botswana,NO,Member State,1,"Territory, region, or administrated by a state",Member State,BWA
Bouvet Island,NO,NO Territory,0,"Territory, region, or administrated by a state",NO Territory,BVT
Brazil,NO,Member State,1,"Territory, region, or administrated by a state",Member State,BRA
British Indian Ocean Territory,NO,UK Territory,0,Sovereignty unsettled,,IOT
British Virgin Islands,NO,UK Non-Self-Governing Territory,0,Permanent observer to the UN,,VGB
Brunei Darussalam,NO,Member State,1,"Territory, region, or administrated by a state",Member State,BRN
Bulgaria,NO,Member State,1,"Territory, region, or administrated by a state",Member State,BGR
Burkina Faso,NO,Member State,1,"Territory, region, or administrated by a state",Member State,BFA
Burundi,NO,Member State,1,"Territory, region, or administrated by a state",Member State,BDI
Cabo Verde,NO,Member State,1,"Territory, region, or administrated by a state",Member State,CPV
Cambodia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,KHM
Cameroon,NO,Member State,1,"Territory, region, or administrated by a state",Member State,CMR
Canada,NO,Member State,1,"Territory, region, or administrated by a state",Member State,CAN
Cayman Islands,NO,UK Non-Self-Governing Territory,0,Permanent observer to the UN,,CYM
Central African Republic,NO,Member State,1,"Territory, region, or administrated by a state",Member State,CAF
Chad,NO,Member State,1,"Territory, region, or administrated by a state",Member State,TCD
Chile,NO,Member State,1,"Territory, region, or administrated by a state",Member State,CHL
China,NO,Member State,1,"Territory, region, or administrated by a state",Member State,CHN
China/India,YES,Sovereignty unsettled,0,Occupied territory,,
Christmas Island,NO,AU Territory,0,"Territory, region, or administrated by a state",AU Territory,CXR
Clipperton Island,NO,FR Territory,0,"Territory, region, or administrated by a state",FR Territory,
Cocos (Keeling) Islands,NO,AU Territory,0,"Territory, region, or administrated by a state",AU Territory,CCK
Colombia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,COL
Comoros,NO,Member State,1,"Territory, region, or administrated by a state",Member State,COM
Congo,NO,Member State,1,"Territory, region, or administrated by a state",Member State,COG
Cook Islands,NO,NZ Territory,0,"Territory, region, or administrated by a state",NZ Territory,COK
Costa Rica,NO,Member State,1,"Territory, region, or administrated by a state",Member State,CRI
Croatia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,HRV
Cuba,NO,Member State,1,"Territory, region, or administrated by a state",Member State,CUB
Cyprus,NO,Member State,1,"Territory, region, or administrated by a state",Member State,CYP
Czechia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,CZE
Côte D'Ivoire,NO,Member State,1,"Territory, region, or administrated by a state",Member State,CIV
Dem People's Rep of Korea,NO,Member State,1,"Territory, region, or administrated by a state",Member State,PRK
Democratic Republic of the Congo,NO,Member State,1,"Territory, region, or administrated by a state",Member State,COD
Denmark,NO,Member State,1,"Territory, region, or administrated by a state",Member State,DNK
Djibouti,NO,Member State,1,"Territory, region, or administrated by a state",Member State,DJI
Dominica,NO,Member State,1,"Territory, region, or administrated by a state",Member State,DMA
Dominican Republic,NO,Member State,1,"Territory, region, or administrated by a state",Member State,DOM
Ecuador,NO,Member State,1,"Territory, region, or administrated by a state",Member State,ECU
Egypt,NO,Member State,1,"Territory, region, or administrated by a state",Member State,EGY
El Salvador,NO,Member State,1,"Territory, region, or administrated by a state",Member State,SLV
Equatorial Guinea,NO,Member State,1,"Territory, region, or administrated by a state",Member State,GNQ
Eritrea,NO,Member State,1,"Territory, region, or administrated by a state",Member State,ERI
Estonia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,EST
Eswatini,NO,Member State,1,"Territory, region, or administrated by a state",Member State,SWZ
Ethiopia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,ETH
Europa Island,NO,FR Territory,0,"Territory, region, or administrated by a state",FR Territory,
Falkland Islands (Malvinas),NO,UK Non-Self-Governing Territory,0,Permanent observer to the UN,,FLK
Faroe Islands,NO,DK Territory,0,"Territory, region, or administrated by a state",DK Territory,FRO
Fiji,NO,Member State,1,"Territory, region, or administrated by a state",Member State,FJI
Finland,NO,Member State,1,"Territory, region, or administrated by a state",Member State,FIN
France,NO,Member State,1,"Territory, region, or administrated by a state",Member State,FRA
French Guiana,NO,Member State,1,"Territory, region, or administrated by a state",Member State,GUF
French Polynesia,NO,FR Territory,0,"Territory, region, or administrated by a state",FR Territory,PYF
French Southern and Antarctic Territories,NO,FR Territory,0,"Territory, region, or administrated by a state",FR Territory,ATF
Gabon,NO,Member State,1,"Territory, region, or administrated by a state",Member State,GAB
Gambia (Republic of The),NO,Member State,1,"Territory, region, or administrated by a state",Member State,GMB
Gaza Strip,NO,Occupied Palestinian Territory,0,"Territory, region, or administrated by a state",Occupied Palestinian Territory,
Georgia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,GEO
Germany,NO,Member State,1,"Territory, region, or administrated by a state",Member State,DEU
Ghana,NO,Member State,1,"Territory, region, or administrated by a state",Member State,GHA
Gibraltar,NO,UK Non-Self-Governing Territory,0,Permanent observer to the UN,,GIB
Glorioso Island,NO,FR Territory,0,"Territory, region, or administrated by a state",FR Territory,
Greece,NO,Member State,1,"Territory, region, or administrated by a state",Member State,GRC
Greenland,NO,DK Self-Governing Territory,0,"Territory, region, or administrated by a state",DK Self-Governing Territory,GRL
Grenada,NO,Member State,1,"Territory, region, or administrated by a state",Member State,GRD
Guadeloupe,NO,FR Territory,0,"Territory, region, or administrated by a state",FR Territory,GLP
Guam,NO,US Non-Self-Governing Territory,0,"Territory, region, or administrated by a state",US Non-Self-Governing Territory,GUM
Guatemala,NO,Member State,1,"Territory, region, or administrated by a state",Member State,GTM
Guernsey,NO,UK Territory,0,Sovereignty unsettled,,GGY
Guinea,NO,Member State,1,"Territory, region, or administrated by a state",Member State,GIN
Guinea-Bissau,NO,Member State,1,"Territory, region, or administrated by a state",Member State,GNB
Guyana,NO,Member State,1,"Territory, region, or administrated by a state",Member State,GUY
Haiti,NO,Member State,1,"Territory, region, or administrated by a state",Member State,HTI
Hala'ib triangle,YES,Sovereignty unsettled,0,Occupied territory,,
Heard Island and McDonald Islands,NO,AU Territory,0,"Territory, region, or administrated by a state",AU Territory,HMD
Holy See,NO,The City of Vatican,0,"Territory, region, or administrated by a state",The City of Vatican,VAT
Honduras,NO,Member State,1,"Territory, region, or administrated by a state",Member State,HND
Hong Kong,NO,CN Special Administrative Region,0,"Territory, region, or administrated by a state",CN Special Administrative Region,HKG
Howland Island,NO,US Territory,0,"Territory, region, or administrated by a state",US Territory,
Hungary,NO,Member State,1,"Territory, region, or administrated by a state",Member State,HUN
Iceland,NO,Member State,1,"Territory, region, or administrated by a state",Member State,ISL
Ilemi triangle,YES,Sovereignty unsettled,0,Occupied territory,,
India,NO,Member State,1,"Territory, region, or administrated by a state",Member State,IND
Indonesia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,IDN
Iran (Islamic Republic of),NO,Member State,1,"Territory, region, or administrated by a state",Member State,IRN
Iraq,NO,Member State,1,"Territory, region, or administrated by a state",Member State,IRQ
Ireland,NO,Member State,1,"Territory, region, or administrated by a state",Member State,IRL
Isle of Man,NO,UK territory,0,Sovereignty unsettled,,IMN
Israel,NO,Member State,1,"Territory, region, or administrated by a state",Member State,ISR
Italy,NO,Member State,1,"Territory, region, or administrated by a state",Member State,ITA
Jamaica,NO,Member State,1,"Territory, region, or administrated by a state",Member State,JAM
Jammu and Kashmir,YES,Sovereignty unsettled,0,Occupied territory,,
Japan,NO,Member State,1,"Territory, region, or administrated by a state",Member State,JPN
Jarvis Island,NO,US Territory,0,"Territory, region, or administrated by a state",US Territory,
Jersey,NO,UK Territory,0,Sovereignty unsettled,,JEY
Johnston Atoll,NO,US Territory,0,"Territory, region, or administrated by a state",US Territory,
Jordan,NO,Member State,1,"Territory, region, or administrated by a state",Member State,JOR
Juan de Nova Island,NO,FR Territory,0,"Territory, region, or administrated by a state",FR Territory,
Kazakhstan,NO,Member State,1,"Territory, region, or administrated by a state",Member State,KAZ
Kenya,NO,Member State,1,"Territory, region, or administrated by a state",Member State,KEN
Kingman Reef,NO,US Territory,0,"Territory, region, or administrated by a state",US Territory,
Kiribati,NO,Member State,1,"Territory, region, or administrated by a state",Member State,KIR
Kuril islands,YES,Sovereignty unsettled,0,Occupied territory,,
Kuwait,NO,Member State,1,"Territory, region, or administrated by a state",Member State,KWT
Kyrgyzstan,NO,Member State,1,"Territory, region, or administrated by a state",Member State,KGZ
Lao People's Democratic Republic,NO,Member State,1,"Territory, region, or administrated by a state",Member State,LAO
Latvia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,LVA
Lebanon,NO,Member State,1,"Territory, region, or administrated by a state",Member State,LBN
Lesotho,NO,Member State,1,"Territory, region, or administrated by a state",Member State,LSO
Liberia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,LBR
Libya,NO,Member State,1,"Territory, region, or administrated by a state",Member State,LBY
Liechtenstein,NO,Member State,1,"Territory, region, or administrated by a state",Member State,LIE
Lithuania,NO,Member State,1,"Territory, region, or administrated by a state",Member State,LTU
Luxembourg,NO,Member State,1,"Territory, region, or administrated by a state",Member State,LUX
Ma'tan al-Sarra,YES,Sovereignty unsettled,0,Occupied territory,,
Macau,NO,CN Special Administrative Region,0,"Territory, region, or administrated by a state",CN Special Administrative Region,MAC
Madagascar,NO,Member State,1,"Territory, region, or administrated by a state",Member State,MDG
Madeira Islands,NO,PT Territory,0,Occupied territory,,
Malawi,NO,Member State,1,"Territory, region, or administrated by a state",Member State,MWI
Malaysia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,MYS
Maldives,NO,Member State,1,"Territory, region, or administrated by a state",Member State,MDV
Mali,NO,Member State,1,"Territory, region, or administrated by a state",Member State,MLI
Malta,NO,Member State,1,"Territory, region, or administrated by a state",Member State,MLT
Marshall Islands,NO,Member State,1,"Territory, region, or administrated by a state",Member State,MHL
Martinique,NO,FR Territory,0,"Territory, region, or administrated by a state",FR Territory,MTQ
Mauritania,NO,Member State,1,"Territory, region, or administrated by a state",Member State,MRT
Mauritius,NO,Member State,1,"Territory, region, or administrated by a state",Member State,MUS
Mayotte,NO,FR Territory,0,"Territory, region, or administrated by a state",FR Territory,MYT
Mexico,NO,Member State,1,"Territory, region, or administrated by a state",Member State,MEX
Micronesia (Federated States of),NO,Member State,1,"Territory, region, or administrated by a state",Member State,FSM
Midway Island,NO,US Territory,0,"Territory, region, or administrated by a state",US Territory,
Monaco,NO,Member State,1,"Territory, region, or administrated by a state",Member State,MCO
Mongolia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,MNG
Montenegro,NO,Member State,1,Member state,,MNE
Montserrat,NO,UK Non-Self-Governing Territory,0,Permanent observer to the UN,,MSR
Morocco,NO,Member State,1,"Territory, region, or administrated by a state",Member State,MAR
Mozambique,NO,Member State,1,"Territory, region, or administrated by a state",Member State,MOZ
Myanmar,NO,Member State,1,"Territory, region, or administrated by a state",Member State,MMR
Namibia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,NAM
Nauru,NO,Member State,1,"Territory, region, or administrated by a state",Member State,NRU
Navassa Island,NO,US Territory,0,"Territory, region, or administrated by a state",US Territory,
Nepal,NO,Member State,1,"Territory, region, or administrated by a state",Member State,NPL
Netherlands,NO,Member State,1,"Territory, region, or administrated by a state",Member State,NLD
Netherlands Antilles,NO,NL Territory,0,,,
New Caledonia,NO,FR Non-Self-Governing Territory,0,"Territory, region, or administrated by a state",FR Non-Self-Governing Territory,NCL
New Zealand,NO,Member State,1,"Territory, region, or administrated by a state",Member State,NZL
Nicaragua,NO,Member State,1,"Territory, region, or administrated by a state",Member State,NIC
Niger,NO,Member State,1,"Territory, region, or administrated by a state",Member State,NER
Nigeria,NO,Member State,1,"Territory, region, or administrated by a state",Member State,NGA
Niue,NO,NZ Territory,0,"Territory, region, or administrated by a state",NZ Territory,NIU
Norfolk Island,NO,AU Territory,0,"Territory, region, or administrated by a state",AU Territory,NFK
North Macedonia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,MKD
Northern Mariana Islands,NO,US Territory,0,"Territory, region, or administrated by a state",US Territory,MNP
Norway,NO,Member State,1,"Territory, region, or administrated by a state",Member State,NOR
Oman,NO,Member State,1,"Territory, region, or administrated by a state",Member State,OMN
Pakistan,NO,Member State,1,"Territory, region, or administrated by a state",Member State,PAK
Palau,NO,Member State,1,"Territory, region, or administrated by a state",Member State,PLW
Palmyra Atoll,NO,US Territory,0,"Territory, region, or administrated by a state",US Territory,
Panama,NO,Member State,1,"Territory, region, or administrated by a state",Member State,PAN
Papua New Guinea,NO,Member State,1,"Territory, region, or administrated by a state",Member State,PNG
Paracel Islands,YES,Sovereignty unsettled,0,Occupied territory,,
Paraguay,NO,Member State,1,"Territory, region, or administrated by a state",Member State,PRY
Peru,NO,Member State,1,"Territory, region, or administrated by a state",Member State,PER
Philippines,NO,Member State,1,"Territory, region, or administrated by a state",Member State,PHL
Pitcairn,NO,UK Non-Self-Governing Territory,0,Permanent observer to the UN,,PCN
Poland,NO,Member State,1,"Territory, region, or administrated by a state",Member State,POL
Portugal,NO,Member State,1,"Territory, region, or administrated by a state",Member State,PRT
Puerto Rico,NO,US Territory,0,"Territory, region, or administrated by a state",US Territory,PRI
Qatar,NO,Member State,1,"Territory, region, or administrated by a state",Member State,QAT
Republic of Korea,NO,Member State,1,"Territory, region, or administrated by a state",Member State,KOR
Republic of Moldova,NO,Member State,1,"Territory, region, or administrated by a state",Member State,MDA
Reunion,NO,FR Territory,0,"Territory, region, or administrated by a state",FR Territory,REU
Romania,NO,Member State,1,"Territory, region, or administrated by a state",Member State,ROU
Russian Federation,NO,Member State,1,"Territory, region, or administrated by a state",Member State,RUS
Rwanda,NO,Member State,1,"Territory, region, or administrated by a state",Member State,RWA
Saint Helena,NO,UK Non-Self-Governing Territory,0,Permanent observer to the UN,,SHN
Saint Kitts and Nevis,NO,Member State,1,"Territory, region, or administrated by a state",Member State,KNA
Saint Lucia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,LCA
Saint Pierre et Miquelon,NO,FR Territory,0,"Territory, region, or administrated by a state",FR Territory,SPM
Saint Vincent and the Grenadines,NO,Member State,1,"Territory, region, or administrated by a state",Member State,VCT
Samoa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,WSM
San Marino,NO,Member State,1,"Territory, region, or administrated by a state",Member State,SMR
Sao Tome and Principe,NO,Member State,1,"Territory, region, or administrated by a state",Member State,STP
Saudi Arabia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,SAU
Scarborough Reef,YES,Sovereignty unsettled,0,Occupied territory,,
Senegal,NO,Member State,1,"Territory, region, or administrated by a state",Member State,SEN
Senkaku Islands,YES,Sovereignty unsettled,0,Occupied territory,,
Serbia,NO,Member State,1,Member state,,SRB
Seychelles,NO,Member State,1,"Territory, region, or administrated by a state",Member State,SYC
Sierra Leone,NO,Member State,1,"Territory, region, or administrated by a state",Member State,SLE
Singapore,NO,Member State,1,"Territory, region, or administrated by a state",Member State,SGP
Slovakia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,SVK
Slovenia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,SVN
Solomon Islands,NO,Member State,1,"Territory, region, or administrated by a state",Member State,SLB
Somalia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,SOM
South Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,ZAF
South Georgia and the South Sandwich Islands,NO,UK Territory,0,Sovereignty unsettled,,SGS
South Sudan,NO,Member State,1,Member state,,SSD
Spain,NO,Member State,1,"Territory, region, or administrated by a state",Member State,ESP
Spratly Islands,YES,Sovereignty unsettled,0,Occupied territory,,
Sri Lanka,NO,Member State,1,"Territory, region, or administrated by a state",Member State,LKA
Sudan,NO,Member State,1,"Territory, region, or administrated by a state",Member State,SDN
Suriname,NO,Member State,1,"Territory, region, or administrated by a state",Member State,SUR
Svalbard and Jan Mayen Islands,NO,NO Territory,0,"Territory, region, or administrated by a state",NO Territory,SJM
Sweden,NO,Member State,1,"Territory, region, or administrated by a state",Member State,SWE
Switzerland,NO,Member State,1,"Territory, region, or administrated by a state",Member State,CHE
Syrian Arab Republic,NO,Member State,1,"Territory, region, or administrated by a state",Member State,SYR
Taiwan,NO,CN Province,0,"Territory, region, or administrated by a state",CN Province,TWN
Tajikistan,NO,Member State,1,"Territory, region, or administrated by a state",Member State,TJK
Thailand,NO,Member State,1,"Territory, region, or administrated by a state",Member State,THA
Timor-Leste,NO,Member State,1,"Territory, region, or administrated by a state",Member State,TLS
Togo,NO,Member State,1,"Territory, region, or administrated by a state",Member State,TGO
Tokelau,NO,NZ Non-Self-Governing Territory,0,"Territory, region, or administrated by a state",NZ Non-Self-Governing Territory,TKL
Tonga,NO,Member State,1,"Territory, region, or administrated by a state",Member State,TON
Trinidad and Tobago,NO,Member State,1,"Territory, region, or administrated by a state",Member State,TTO
Tromelin Island,NO,FR Territory,0,"Territory, region, or administrated by a state",FR Territory,
Tunisia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,TUN
Turkmenistan,NO,Member State,1,"Territory, region, or administrated by a state",Member State,TKM
Turks and Caicos Islands,NO,UK Non-Self-Governing Territory,0,Permanent observer to the UN,,
Tuvalu,NO,Member State,1,"Territory, region, or administrated by a state",Member State,TUV
Türkiye,NO,Member State,1,"Territory, region, or administrated by a state",Member State,TUR
Uganda,NO,Member State,1,"Territory, region, or administrated by a state",Member State,UGA
Ukraine,NO,Member State,1,"Territory, region, or administrated by a state",Member State,UKR
United Arab Emirates,NO,Member State,1,"Territory, region, or administrated by a state",Member State,ARE
United Kingdom of Great Britain and Northern Ireland,NO,Member State,1,"Territory, region, or administrated by a state",Member State,GBR
United Republic of Tanzania,NO,Member State,1,"Territory, region, or administrated by a state",Member State,TZA
United States Virgin Islands,NO,US Non-Self-Governing Territory,0,"Territory, region, or administrated by a state",US Non-Self-Governing Territory,VIR
United States of America,NO,Member State,1,"Territory, region, or administrated by a state",Member State,USA
Uruguay,NO,Member State,1,"Territory, region, or administrated by a state",Member State,URY
Uzbekistan,NO,Member State,1,"Territory, region, or administrated by a state",Member State,UZB
Vanuatu,NO,Member State,1,"Territory, region, or administrated by a state",Member State,VUT
"Venezuela, Bolivarian Republic of",NO,Member State,1,"Territory, region, or administrated by a state",Member State,VEN
Viet Nam,NO,Member State,1,"Territory, region, or administrated by a state",Member State,VNM
Wake Island,NO,US Territory,0,"Territory, region, or administrated by a state",US Territory,
Wallis and Futuna,NO,FR Territory,0,"Territory, region, or administrated by a state",FR Territory,WLF
West Bank,NO,Occupied Palestinian Territory,0,"Territory, region, or administrated by a state",Occupied Palestinian Territory,
Western Sahara,NO,Non-Self-Governing Territory,0,"Territory, region, or administrated by a state",Non-Self-Governing Territory,ESH
Yemen,NO,Member State,1,"Territory, region, or administrated by a state",Member State,YEM
Zambia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,ZMB
Zimbabwe,NO,Member State,1,"Territory, region, or administrated by a state",Member State,ZWE
