Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,WCA Round,Census Year,Unit,Value,Flag,Flag Description,Note
"WCAD","Structural data from agricultural censuses","3","Albania","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2012","%","91.1","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","3","Albania","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2012","%","8.9","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","4","Algeria","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","2001","%","95.92","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","4","Algeria","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","2001","%","4.08","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","5","American Samoa","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","1998/2003","%","79.45","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","5","American Samoa","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2008-2012","%","80.6","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","5","American Samoa","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","1998/2003","%","20.55","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","5","American Samoa","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2008-2012","%","19.4","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","9","Argentina","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1988","%","85.73","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","9","Argentina","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1988","%","14.27","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","1","Armenia","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2014","%","74.5","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","1","Armenia","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2014","%","25.5","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","11","Austria","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1990","%","78.01","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","11","Austria","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","1999-2000","%","70.48","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","11","Austria","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2010","%","65.5","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","11","Austria","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1990","%","21.99","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","11","Austria","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","1999-2000","%","29.52","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","11","Austria","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2010","%","34.5","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","52","Azerbaijan","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2015","%","75","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","52","Azerbaijan","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2015","%","25","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","12","Bahamas","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1994","%","69.02","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","12","Bahamas","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1994","%","30.98","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","16","Bangladesh","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1996-1997","%","96.52","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","16","Bangladesh","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2008","%","97","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","16","Bangladesh","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1996-1997","%","3.48","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","16","Bangladesh","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2008","%","3","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","255","Belgium","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1990","%","86.32","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","255","Belgium","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","2000","%","84.99","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","255","Belgium","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2010","%","85","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","255","Belgium","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1990","%","13.68","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","255","Belgium","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","2000","%","15.01","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","255","Belgium","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2010","%","15.1","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","53","Benin","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1992-1993","%","90.76","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","53","Benin","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1992-1993","%","9.24","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","19","Bolivia (Plurinational State of)","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2013","%","74.7","Fc","Calculated data","The sex of the head of some holdings operated by civil persons was missing and stated as "Not Specified" or "No information", and the sum of the shares headed by males and females was not equal to 100%"
"WCAD","Structural data from agricultural censuses","19","Bolivia (Plurinational State of)","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2013","%","25.2","Fc","Calculated data","The sex of the head of some holdings operated by civil persons was missing and stated as "Not Specified" or "No information", and the sum of the shares headed by males and females was not equal to 100%"
"WCAD","Structural data from agricultural censuses","20","Botswana","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1993-1994","%","65.83","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","20","Botswana","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","2004","%","65.24","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","20","Botswana","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2015","%","64.6","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","20","Botswana","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1993-1994","%","34.17","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","20","Botswana","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","2004","%","34.76","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","20","Botswana","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2015","%","35.4","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","21","Brazil","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1986","%","83.25","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","21","Brazil","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2006","%","87.2","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","21","Brazil","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1986","%","16.75","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","21","Brazil","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2006","%","12.8","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","27","Bulgaria","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2010","%","77.2","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","27","Bulgaria","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2010","%","22.8","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","233","Burkina Faso","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1993","%","91.59","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","233","Burkina Faso","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1993","%","8.41","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","35","Cabo Verde","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1988","%","63.8","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","35","Cabo Verde","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","2004","%","49.47","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","35","Cabo Verde","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1988","%","36.2","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","35","Cabo Verde","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","2004","%","50.53","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","33","Canada","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2006/2011","%","72.6","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","33","Canada","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2006/2011","%","27.4","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","44","Colombia","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2014","%","96","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","44","Colombia","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2014","%","4","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","45","Comoros","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","2004","%","67.42","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","45","Comoros","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","2004","%","32.58","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","46","Congo","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2014-2015","%","71.4","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","46","Congo","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2014-2015","%","28.6","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","47","Cook Islands","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2011","%","92.6","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","47","Cook Islands","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2011","%","7.4","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","48","Costa Rica","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2014","%","84.4","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","48","Costa Rica","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2014","%","15.6","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","107","C?te d'Ivoire","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","2002","%","89.86","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","107","C?te d'Ivoire","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2015-2016","%","78.2","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","107","C?te d'Ivoire","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","2002","%","10.14","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","107","C?te d'Ivoire","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2015-2016","%","21.8","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","98","Croatia","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2010","%","78","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","98","Croatia","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2010","%","22","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","50","Cyprus","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1994-1995","%","91.93","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","50","Cyprus","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","2003-2004","%","74.46","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","50","Cyprus","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2010","%","79.4","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","50","Cyprus","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1994-1995","%","8.07","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","50","Cyprus","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","2003-2004","%","25.54","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","50","Cyprus","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2010","%","20.6","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","167","Czechia","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2010","%","85","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","167","Czechia","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2010","%","15.1","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","250","Democratic Republic of the Congo","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1988-1989","%","91.11","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","250","Democratic Republic of the Congo","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1988-1989","%","8.89","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","54","Denmark","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","2000","%","91.35","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","54","Denmark","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2010","%","91","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","54","Denmark","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","2000","%","8.65","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","54","Denmark","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2010","%","9","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","72","Djibouti","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1995","%","94.98","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","72","Djibouti","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1995","%","5.02","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","55","Dominica","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1995","%","80.82","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","55","Dominica","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1995","%","19.18","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","58","Ecuador","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","1999-2000","%","74.64","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","58","Ecuador","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","1999-2000","%","25.36","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","59","Egypt","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1990","%","91.77","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","59","Egypt","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","1999-2000","%","94.78","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","59","Egypt","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2009-2010","%","96.1","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","59","Egypt","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1990","%","8.23","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","59","Egypt","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","1999-2000","%","5.22","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","59","Egypt","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2009-2010","%","3.9","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","63","Estonia","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2010","%","64.2","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","63","Estonia","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2010","%","35.8","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","209","Eswatini","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1992-1993","%","82.8","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","209","Eswatini","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2012-2013","%","58","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","209","Eswatini","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1992-1993","%","17.2","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","209","Eswatini","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2012-2013","%","42","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","238","Ethiopia","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","2001-2002","%","81.32","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","238","Ethiopia","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","2001-2002","%","18.68","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","66","Fiji","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1991","%","94.79","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","66","Fiji","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2009","%","96.4","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","66","Fiji","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1991","%","5.21","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","66","Fiji","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2009","%","3.6","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","67","Finland","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","2000","%","89.16","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","67","Finland","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2010","%","88.9","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","67","Finland","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","2000","%","10.84","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","67","Finland","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2010","%","11.1","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","68","France","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1988","%","85.27","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","68","France","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","2000-2001","%","76.53","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","68","France","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2010","%","77.3","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","68","France","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1988","%","14.73","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","68","France","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","2000-2001","%","23.47","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","68","France","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2010","%","22.7","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","69","French Guyana","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1988-1989","%","59.85","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","69","French Guyana","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1988-1989","%","40.15","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","75","Gambia","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","2002","%","91.71","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","75","Gambia","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2011-2012","%","91","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","75","Gambia","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","2002","%","8.29","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","75","Gambia","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2011-2012","%","9","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","73","Georgia","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","2004-2005","%","70.94","Fc","Calculated data",""
